Domain,Sub-Domain,Query Name,Indicator Name,Time Period,Count of Black,Count of White,Rate for Black,Rate for White,Size Modifier (Per X of Population),Black : White Disparity,Explanation,"""What can I do?""","""How can I help others?",County,Specific City,Specific Zip Code(s),Specific Census Tract(s),Source
Criminal Justice,Adult Arrests by CPD,"Adult Arrests: Custody Related",Adult Arrests for Escape,2018-2021,2,1,0.08,0.01,"10,000",461%,CPD arrests Black adults 4.6 times more often than they arrest White adults for escape from custody or secured placement.,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Recods Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
Criminal Justice,Adult Arrests by CPD,"Adult Arrests: Custody Related",Adult Arrests for Franklin County Court System Referral ,2018-2021,65,37,2.70,0.55,"10,000",393%,CPD arrests Black adults nearly 4 times more often than they arrest White adults on an order of the Franklin County Court system.,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Recods Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
Criminal Justice,Adult Arrests by CPD,"Adult Arrests: Custody Related",Adult Arrests for Interference with Juvenile Transport ,2018-2021,6,4,0.25,0.06,"10,000",321%,CPD arrests Black adults 3.2 times more often than they arrest White adults for interference with a juvenile transport.,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Recods Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
Criminal Justice,Adult Arrests by CPD,"Adult Arrests: Custody Related",Adult Arrests for Aid and Transport ,2018-2021,10,12,0.42,0.18,"10,000",134%,CPD arrests Black adults 1.3 times more often than they arrest White adults for aid and transport of wanted/fugitive persons.,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Recods Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
Criminal Justice,Adult Arrests by CPD,"Adult Arrests: Custody Related",Adult Arrests for Prisoner Hospital,2018-2021,29,39,1.20,0.58,"10,000",109%,CPD arrests Black adults at more than twice the rate they arrest White adults for prisoner hospital (likely arresting at hospital or transporting for psychiatric evaluation).,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Recods Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
Criminal Justice,Adult Arrests by CPD,"Adult Arrests: Disturbance of Peace",Adult Arrests for Riots,2018-2021,34,22,1.41,0.33,"10,000",334%,CPD arrests Black adults 3.3 times more often than they arrest White adults for participation in riots.,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Recods Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
Criminal Justice,Adult Arrests by CPD,"Adult Arrests: Disturbance of Peace",Adult Arrests for Disorderly Conduct,2018-2021,483,350,20.07,5.18,"10,000",287%,CPD arrests Black adults nearly 3 times more often than they arrest White adults for disorderly conduct.,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Recods Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
Criminal Justice,Adult Arrests by CPD,"Adult Arrests: Disturbance of Peace",Adult Arrests for Public Indecency,2018-2021,66,61,2.74,0.90,"10,000",204%,CPD arrests Black adults over 2 times more often than they arrest White adults for public indecency.,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Recods Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
Criminal Justice,Adult Arrests by CPD,"Adult Arrests: Disturbance of Peace",Adult Arrests for Rallies and Protest,2018-2021,2,12,0.08,0.18,"10,000",-53%,CPD arrests Black adults 53% less often than they arrest White adults for rallies and protest.,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Recods Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
Criminal Justice,Juvenile Justice,Juvenile Array,Juvenile Arrests for Curfew Violations,2018-2021,60,22,-,8.25,1.08,0.0,"10,000",665%,-,CPD arrested Black minors 6.7 times more often than it did White minors for curfew violations.,COMING SOON,COMING SOON,-,Columbus,-,-,CPD Records Request 21-2926. (2021). 2018-2021 City of Columbus Arrestee information.
